Timestamp,With what gender do you identify?,What category best fits your race?,What year are you in school? (starting Fall 2019),I was satisfied with my overall NetsBlox experience.,NetsBlox is a useful programming language.,I would use NetsBlox in the future.,NetsBlox helped me understand the basic concepts of programming.,I understand the basic concepts of cybersecurity.,What were the challenges associated with using NetsBlox?,Are there other features of NetsBlox that you would like to see included?,Approximately how much time did you spend on this programming module (including the mini-projects)? Did you feel that this was enough time to truly understand the NetsBlox programming and the basic concepts of programming?,What concepts were most difficult to understand and why?,"If you tried something in your project but could not do it, what was it? Why do you think it did not work?",What was your favorite part of the camp?,What was your least favorite part of camp? ,I am interested in computer science.,I am interested in a career that involves computer programming.,I understand the types of projects that computer scientists work on and the skills they use in their careers.,Computer scientists play an important role in solving many of the global challenges we face today.,Publicly available data is important for developing new technologies.,I understand what computer networking is.,I use networked applications on a daily basis.,I regularly use applications that send or receive network messages on a daily basis.,I know how to build a distributed application.
6/14/2019 11:38:31,Female,White,10th grade,8,10,9,10,10,Mostly the network connection issues and the delay in sending commands,None,Option 1,"Probably brute force decryption; I either didn’t spend enough time on this, made it too complicated or both",My decryption program for hacking into the square driving program. I made it too complex and messed up the variables,The races and learning about different hacking methods ,The first day where we mostly sat at the front of the room,,,,,,,,,
6/14/2019 11:40:49,Female,Asian,10th grade,7,7,6,9,8,undestanding when i have to use a certain block and certain commands that i had to use,no,Option 1,the use for certain blocks,encryptions and trying to get the robot to beep,"the food, making the game, and driving/coding for the robot",hacking,,,,,,,,,
6/14/2019 11:40:53,Male,White,9th grade,9,9,8,10,10,Organizing the code,No,Option 1,The most difficult to understand was the encryption breaking. It seemed complex to me.,I tried some more complex encryption and it didn't work at first. I was just not coding it right.,working on the security of the robot.,I don't know.,,,,,,,,,
6/14/2019 11:41:02,Male,White,10th grade,8,6,5,6,9,keeping the programworking,no,Option 1,the encryption,the code was broken,controlling other bots,boxed lunch,,,,,,,,,
6/14/2019 11:41:15,Male,White,12th grade,9,6,5,8,9,Programming a robot. the learning how to defend and attack other robots ,no,Option 1,none were difficult,if it did not work it was because the robot was unresponsive,the robots,nothing,,,,,,,,,
6/14/2019 11:41:21,Female,African/African-American,12th grade,7,8,8,8,9,Trying to create certain commands with the robot and the robot would not respond to certain commands,A guide,Option 1,Encrypting and certain blocks functions,trying to make it do. perfect circle was very difficult ,Making the program work to give commands to the robot that moved. ,1 week is to short,,,,,,,,,
6/14/2019 11:41:44,communist,russian,10th grade,6,2,1,1,1,,,,,,,,,,,,,,,,
6/14/2019 11:42:19,Male,White,9th grade,8,6,6,10,10,"Finding blocks, inviting people, staying in sync with people in the same program, network issues, netsblox not allowing you to edit and you having to restart the tab.",Better mobile support,Option 1,"the robot encryption, i got lost easily",Everything we have tried to implement has worked so far,hacking peoples robots,not hacking peoples robots and the first day,,,,,,,,,
6/14/2019 11:42:32,Male,Asian,12th grade,9,8,8,9,8,"The ability to move for a certain distance with one block would have probably been useful, but nothing major overall.",(Above) ability top move a certain distance,Option 1,The tick counters were probably the most difficult because they required proficiency in several other block concepts coupled with knowing how to put them together.,"I tried to run the turn feature of the automated square program using ticks instead of time initially. I had to switch to a time based motion because when I used ticks, the degree of the turn varied drastically for each of the four motion. I think it did not work as well because the tick motion was more susceptible and vulnerable to the effect wheel slippage had on the process.",The hands on experience of being able to program an actual robot and see it work and fail instead of just a computer simulation was undoubtedly my favorite part.,Idk it was pretty good overall,,,,,,,,,
6/14/2019 11:42:40,Male,White,12th grade,8,8,6,8,7,"Often times, the site itself would randomly stop working for me and my partner. ",,Option 1,"The hardest parts to understand were the distributed system aspects, because I had trouble grasping exactly how the messages were sent and received by the robot, and how to use that information.","I think that some of my programs did not work due to small oversights in code, or a lack of full understanding about some of the concepts, which caused me to use things in an inefficient way.",I really enjoyed working with the robots.,,,,,,,,,,
6/14/2019 11:42:45,Male,White,10th grade,7,9,7,7,10,Finding the Commands I needed/wanted to use,"an ""other than"" statement",Option 1,"I didn't have any trouble with concepts, only sometimes with execution, but even then, Ben (Instructor) knew what to do and showed me how to do what I wanted on NetsBlox","I think just mostly finding the blocks was the main challenge, a search bar for the command names and their descriptions would be very helpful.",On Thursday when we learned to encrypt and I had made a surefire brute force program.,The lectures.,,,,,,,,,
6/14/2019 11:44:22,Female,White,10th grade,9,8,7,8,8,"Once we got further into the encryption programming, we encountered more difficulties in the code and we were forced to comb through every piece to find what the problem was.",I was satisfied with the features of NetsBlox that we used.,Option 1,"The encryption/decryption programs were the hardest for me to understand because every detail had to be perfect, and I would often forget a piece.","We tried to create a program that would switch the numeric value of the encryption key every 10 milliseconds, but we soon realized that the key was changing too quickly and the robot couldn't keep up.",I enjoyed the competitions between groups and their robots.,The first day was the hardest because we didn't do anything with the robots.,,,,,,,,,
6/14/2019 11:44:41,Male,White,11th grade,8,10,9,9,8,There are some limits as to how well you can detect other people and the strain on the computer was a limiting factor.,A more reliable app on the phone.,Option 1,It all seemed easy and fluid.,Seemed fine in terms of what Netblox was able to accomplish.,Creating Mouse Control,Was generally pretty good. More food (at least my weight in food) would be appreciated. At least 150 pounds of food per day.,,,,,,,,,
