Post_id,forum_id,forum_name,post_content
1,1,challenges_NetsBlox,Mostly the network connection issues and the delay in sending commands
2,1,challenges_NetsBlox,undestanding when i have to use a certain block and certain commands that i had to use
3,1,challenges_NetsBlox,Organizing the code
4,1,challenges_NetsBlox,keeping the programworking
5,1,challenges_NetsBlox,Programming a robot. the learning how to defend and attack other robots 
6,1,challenges_NetsBlox,Trying to create certain commands with the robot and the robot would not respond to certain commands
7,1,challenges_NetsBlox,
8,1,challenges_NetsBlox,"Finding blocks, inviting people, staying in sync with people in the same program, network issues, netsblox not allowing you to edit and you having to restart the tab."
9,1,challenges_NetsBlox,"The ability to move for a certain distance with one block would have probably been useful, but nothing major overall."
10,1,challenges_NetsBlox,"Often times, the site itself would randomly stop working for me and my partner. "
11,1,challenges_NetsBlox,Finding the Commands I needed/wanted to use
12,1,challenges_NetsBlox,"Once we got further into the encryption programming, we encountered more difficulties in the code and we were forced to comb through every piece to find what the problem was."
13,1,challenges_NetsBlox,There are some limits as to how well you can detect other people and the strain on the computer was a limiting factor.
14,1,challenges_NetsBlox,"Some times the collaboration feature would not work for my partner or I at times. So only him or I, at times, would be able to work on the project while the other could not."
15,1,challenges_NetsBlox,"If a large area of code needed to be moved elsewhere but the majority of the code is individual commands or functions, it takes time to move them all individually to a separate area. The program also crashes often and requires collaborators to move the code into a new project."
16,1,challenges_NetsBlox,Lag
17,1,challenges_NetsBlox,
18,1,challenges_NetsBlox,It was challenging to find some blocks
19,1,challenges_NetsBlox,understanding what each block does without thorough indtruction
20,1,challenges_NetsBlox,Sometimes you could unsync with your partners 
21,1,challenges_NetsBlox,I had trouble finding a way to express what I wanted to program 
22,1,challenges_NetsBlox,It took some time getting used to creating custom blocks
23,1,challenges_NetsBlox,"Finding specific blocks that weren't used many times, REALLY HARD TO FIND SOMETIMES"
24,1,challenges_NetsBlox,"My computer's interactions with netsblox often resulted in issues that caused me to need to reload the program or all of google because I couldn't edit or something like that. Also, the programs wouldn't load at times."
25,1,challenges_NetsBlox,"Sometimes, it wouldn't let me edit and was just lagging. My group member's dit wouldn't show up."
26,1,challenges_NetsBlox,"Sometimes the code would not connect to the robot, and we would have to shut down the robot continuously until it finally connected to the robot. "
27,1,challenges_NetsBlox,glitches. needs to improve intuitive
28,1,challenges_NetsBlox,Server not always reliable; blocks of script known to work in Scratch did not yield the same results (or any at all); problems with saving or editing
29,1,challenges_NetsBlox,when collaborating Netsblox would either be too slow or only let one person write. 
30,1,challenges_NetsBlox,My groups robot did not move and it was a challenge trying to figure out why and how to fix it.
31,1,challenges_NetsBlox,There was sometimes a limit to something I would want to do that the program couldn't run
32,1,challenges_NetsBlox,"Getting our robot to work, move/ corporate so that we could test to see if we were programming our robot correctly. Also having issues with blocks of code disappearing as we tried to drop it in. "
33,1,challenges_NetsBlox,We had trouble collaborating using NetsBlox which made it challenging to code the robots. The program would often not let one person edit and would show different versions of the same project to different people.
34,1,challenges_NetsBlox,"Lack of knowledge of the kinds of blocks needed to accomplish certain tasks. I understood the logistics and concept of what we were trying to do, but when I asked proctors for help they merely reiterated these concepts and did not help me find what commands I needed to use."
35,1,challenges_NetsBlox,"Sometimes it was hard to collaborate using NetsBlox. A couple times the program would have an issue where somebody could not edit the program, and it had to be reopened."
36,1,challenges_NetsBlox,It lags a lot and I tend to have to restart the program alot
37,1,challenges_NetsBlox,"It was somewhat confusing to use, and I didn't always understand exactly how to set the blocks up in a way that would make my code work. "
38,1,challenges_NetsBlox,"NetsBlox is a great programming language; however, it may not be as great or as useful to first-time users with little to zero background knowledge on computer programming and/or computer science. The main problem I think is with NetsBlox is that most people struggled to know which sets of blocks to use or functions because they are not familiar with the language or where everything is set. "
39,1,challenges_NetsBlox,Sometimes the NetsBlox would not let us collaborate with each other.
